underlying,expiry,days2exp,K1,K2,entry_cost,payoff,profit,raw_return,ann_yield
^VIX,2025-05-21,27,29.0,36.0,711.0,700.0,-11.0,-0.015471167369901548,-0.2091472625931135
^VIX,2025-05-21,27,29.0,39.0,1008.0,1000.0,-8.0,-0.007936507936507936,-0.10728982951205172
^VIX,2025-05-21,27,29.0,40.0,1113.0,1100.0,-13.0,-0.011680143755615454,-0.15789823965924596
^VIX,2025-05-21,27,30.0,36.0,616.0,600.0,-16.0,-0.025974025974025976,-0.3511303511303511
^VIX,2025-05-21,27,30.0,39.0,912.9999999999999,900.0,-12.999999999999886,-0.01423877327491773,-0.1924871201979619
^VIX,2025-05-21,27,30.0,40.0,1018.0,1000.0,-18.0,-0.01768172888015717,-0.23903077930582842
^VIX,2025-05-21,27,36.0,39.0,311.99999999999994,300.0,-11.999999999999943,-0.03846153846153828,-0.5199430199430175
^VIX,2025-05-21,27,36.0,40.0,417.0,400.0,-17.0,-0.0407673860911271,-0.551114663824496
^VIX,2025-05-21,27,39.0,40.0,119.99999999999993,100.0,-19.99999999999993,-0.16666666666666619,-2.25308641975308
^VIX,2025-06-18,55,16.0,28.0,1201.0,1200.0,-1.0,-0.0008326394671107411,-0.005525698281734918
^VIX,2025-06-18,55,16.0,30.0,1405.0,1400.0,-5.0,-0.0035587188612099642,-0.02361695244257522
^VIX,2025-06-18,55,16.0,31.0,1503.0,1500.0,-3.0,-0.001996007984031936,-0.01324623480312103
^VIX,2025-06-18,55,16.0,100.0,8354.0,8400.0,46.0,0.005506344266219775,0.03654210285764033
^VIX,2025-06-18,55,28.0,30.0,218.99999999999994,200.0,-18.999999999999943,-0.08675799086757967,-0.5757575757575742
^VIX,2025-06-18,55,28.0,31.0,317.0,300.0,-17.0,-0.05362776025236593,-0.35589331803842844
^VIX,2025-06-18,55,28.0,100.0,7167.999999999999,7200.0,32.00000000000091,0.0044642857142858415,0.029626623376624223
^VIX,2025-06-18,55,30.0,31.0,112.0000000000001,100.0,-12.0000000000001,-0.10714285714285794,-0.7110389610389664
^VIX,2025-06-18,55,30.0,100.0,6963.0,7000.0,37.0,0.005313801522332328,0.03526431919366
^VIX,2025-06-18,55,31.0,100.0,6866.999999999999,6900.0,33.00000000000091,0.0048055919615553975,0.03189165574486764
^VIX,2025-08-20,118,20.0,40.0,1984.9999999999998,2000.0,15.000000000000227,0.007556675062972407,0.023374460999872275
^XSP,2025-04-25,1,540.0,541.0,115.00000000000003,100.0,-15.000000000000028,-0.13043478260869587,-47.60869565217399
^XSP,2025-04-25,1,540.0,542.0,221.0,200.0,-21.0,-0.09502262443438914,-34.68325791855204
^XSP,2025-04-25,1,540.0,545.0,535.0,500.0,-35.0,-0.06542056074766354,-23.878504672897193
^XSP,2025-04-25,1,540.0,546.0,633.0,600.0,-33.0,-0.052132701421800945,-19.028436018957343
^XSP,2025-04-25,1,541.0,542.0,117.99999999999997,100.0,-17.99999999999997,-0.15254237288135572,-55.677966101694835
^XSP,2025-04-25,1,541.0,545.0,432.0,400.0,-32.0,-0.07407407407407407,-27.037037037037035
^XSP,2025-04-25,1,541.0,546.0,530.0,500.0,-30.0,-0.05660377358490566,-20.660377358490567
^XSP,2025-04-25,1,542.0,545.0,325.0,300.0,-25.0,-0.07692307692307693,-28.076923076923077
^XSP,2025-04-25,1,542.0,546.0,422.99999999999994,400.0,-22.999999999999943,-0.05437352245862871,-19.84633569739948
^XSP,2025-04-25,1,545.0,546.0,109.99999999999997,100.0,-9.999999999999972,-0.09090909090909068,-33.181818181818095
